Filename; Functions; Expected_insns; Parallel; Execution_1; Execution_2; Execution_3; Execution_4; Execution_5; Execution_6; Execution_7; Execution_8; Execution_9; Execution_10; Execution_11; Execution_12; Execution_13; Execution_14; Execution_15
0-0-15.cc; 0; 0; true; 0.123054986; 0.122943064; 0.123025775; 0.123022948; 0.123189693; 0.124028809; 0.12313434; 0.122752776; 0.123070759; 0.123247007; 0.123192837; 0.123117554; 0.123725745; 0.123442095; 0.12362721
0-0-16.cc; 0; 0; false; 0.211934002; 0.209162277; 0.20958413; 0.210481377; 0.208579442; 0.208907182; 0.209580549; 0.208994783; 0.208901043; 0.208601009; 0.208899441; 0.208677992; 0.209990918; 0.210118397; 0.210291502
0-0-16.cc; 0; 0; true; 0.226860643; 0.227527251; 0.227402865; 0.227422775; 0.227303171; 0.227684827; 0.225356123; 0.228416606; 0.227429941; 0.227018303; 0.228658815; 0.227585542; 0.227296282; 0.227948072; 0.227319659
0-0-17.cc; 0; 0; false; 0.017419008; 0.016589697; 0.016598668; 0.016574956; 0.016517011; 0.016705575; 0.016509684; 0.016475851; 0.016575659; 0.016576203; 0.016540333; 0.016714466; 0.016587816; 0.016438995; 0.016469322
0-0-17.cc; 0; 0; true; 0.033817394; 0.033907617; 0.033993133; 0.034056382; 0.034131318; 0.033910151; 0.033835774; 0.033983844; 0.033966414; 0.034019828; 0.033845526; 0.033898063; 0.03378103; 0.0339222; 0.033775167
0-0-2.c; 0; 0; false; 0.015352079; 0.015076294; 0.014986559; 0.014881715; 0.01482296; 0.014810469; 0.014881416; 0.014820849; 0.015039119; 0.014917; 0.014827419; 0.014746117; 0.014826744; 0.014860576; 0.014897895
0-0-2.c; 0; 0; true; 0.015053776; 0.014922898; 0.014965011; 0.014900779; 0.014859401; 0.014921013; 0.014981473; 0.014883366; 0.014931649; 0.014944089; 0.014961267; 0.014902809; 0.014947757; 0.014911439; 0.01493587
0-0-3.c; 0; 0; false; 0.016802932; 0.015915637; 0.015920051; 0.015967096; 0.015986433; 0.015866937; 0.015836885; 0.015894075; 0.01584622; 0.01585443; 0.015833554; 0.015813316; 0.015819165; 0.015832426; 0.015871227
0-0-3.c; 0; 0; true; 0.015934951; 0.015986635; 0.015951923; 0.015923552; 0.015911819; 0.015903979; 0.015950505; 0.015940087; 0.015868884; 0.016136498; 0.015915798; 0.016023395; 0.015924293; 0.01592037; 0.015946739
0-0-4.c; 0; 0; false; 0.017830595; 0.017321722; 0.017342296; 0.017370388; 0.017275371; 0.017290771; 0.017242186; 0.017336703; 0.017352441; 0.017262613; 0.017291254; 0.017300866; 0.01735395; 0.017476528; 0.017395156
0-0-4.c; 0; 0; true; 0.017370119; 0.017423275; 0.017415873; 0.017470161; 0.017446268; 0.017432952; 0.017377224; 0.017388363; 0.017368405; 0.017382388; 0.017426225; 0.017423453; 0.017390393; 0.017433208; 0.017355889
0-0-5.c; 0; 0; false; 0.017828237; 0.017326875; 0.017168763; 0.017243987; 0.017198154; 0.017247999; 0.017170978; 0.017224332; 0.017279491; 0.017254261; 0.017219191; 0.017200294; 0.017213798; 0.017153635; 0.017222971
0-0-5.c; 0; 0; true; 0.01730473; 0.017384063; 0.017299516; 0.017269181; 0.017292512; 0.017343199; 0.017296348; 0.017268946; 0.017387098; 0.017380642; 0.017260842; 0.017307882; 0.017304345; 0.017293317; 0.017217811
0-0-6.c; 0; 0; false; 0.020210777; 0.019812716; 0.019755251; 0.019728822; 0.019731914; 0.019704152; 0.02136389; 0.019728286; 0.019600409; 0.019711806; 0.019664296; 0.019763535; 0.019720559; 0.019830627; 0.019773865
0-0-6.c; 0; 0; true; 0.03701313; 0.03711192; 0.036969451; 0.037096136; 0.036927202; 0.037165201; 0.037154981; 0.037125308; 0.037100081; 0.037296589; 0.037138794; 0.037103601; 0.036992531; 0.037299269; 0.037221079
0-0-7.cc; 0; 0; false; 0.107485482; 0.106882214; 0.106927591; 0.106848809; 0.107401222; 0.107329351; 0.10729872; 0.106861495; 0.10676649; 0.107133061; 0.107249247; 0.106862818; 0.107115267; 0.107145802; 0.108174106
0-0-7.cc; 0; 0; true; 0.107143871; 0.106741543; 0.107084584; 0.107431007; 0.106863856; 0.107782428; 0.106923161; 0.107320423; 0.108012586; 0.107017637; 0.106830218; 0.106928129; 0.107274729; 0.106892489; 0.107000965
