filename,functions,expected_insns,inlined_functions,parallel,execution_1,execution_2,execution_3,execution_4,execution_5,execution_6,execution_7,execution_8,execution_9,execution_10,execution_11,execution_12,execution_13,execution_14,execution_15,predicted
1-12-0.c,1,12,0,4,0.036191576,0.036139683,0.036063134,0.03610304,0.036206283,0.036186342,0.036329603,0.036043831,0.036203431,0.036025445,0.036134905,0.036156612,0.036140922,0.036150837,0.036106262,-0.104228695486589
1-12-0.c,1,12,0,8,0.036021288,0.036121721,0.036149083,0.036159641,0.036166617,0.03614569,0.036069051,0.036575175,0.03614878,0.03624782,0.03615757,0.036257021,0.036191681,0.03659585,0.03617717,1.6287391213164029
1-14-0.c,1,14,0,1,0.030970853,0.031551074,0.030404422,0.030427354,0.030400937,0.030309068,0.03037452,0.030338849,0.030545945,0.03020482,0.030761653,0.031753984,0.030416394,0.030403131,0.030349886,2.9934282555595506
1-14-0.c,1,14,0,2,0.030333945,0.030527496,0.030517663,0.030536805,0.030837593,0.031104081,0.031121518,0.030665604,0.030450991,0.030363289,0.030738761,0.030547465,0.030604255,0.030490692,0.030517547,1.5421764083097331
1-14-0.c,1,14,0,4,0.031334638,0.030522483,0.03034057,0.030420496,0.030721038,0.030570756,0.03025085,0.030518483,0.030411516,0.030229563,0.030297374,0.03059228,0.030429527,0.030500716,0.030711613,-0.10403108103222716
1-14-0.c,1,14,0,8,0.030744683,0.030454206,0.030301585,0.030768546,0.030590553,0.030544847,0.030689208,0.030378945,0.030427106,0.030517665,0.030484979,0.030288746,0.03084753,0.030650988,0.030285056,1.628738760914546
1-15-0.c,1,15,0,1,0.032162567,0.032297286,0.031351282,0.032277623,0.031541614,0.031429183,0.031503414,0.03142153,0.031434973,0.032229231,0.031495661,0.031512002,0.031391383,0.031546772,0.031412347,2.9934321026064077
1-15-0.c,1,15,0,2,0.031576952,0.031634018,0.031543523,0.031414703,0.031493848,0.031312173,0.031639557,0.031679619,0.031714819,0.031401119,0.031556434,0.031758665,0.031409,0.031727575,0.031814172,1.542228023054493
1-15-0.c,1,15,0,4,0.031620612,0.031355085,0.031371603,0.031707338,0.03146767,0.031560983,0.031610752,0.031531872,0.031628265,0.03159574,0.031520794,0.031650094,0.03156403,0.031476098,0.03152159,-0.10393227383343065
1-15-0.c,1,15,0,8,0.03146739,0.03290457,0.031812783,0.031807638,0.031468694,0.031480398,0.031540738,0.031614328,0.03147899,0.031720557,0.031585033,0.031373613,0.031465766,0.031515959,0.031362455,1.6287385812543407
1-169-0.cc,1,169,0,1,0.327179972,0.323251887,0.325177205,0.324230038,0.326660924,0.330110829,0.325326663,0.323779428,0.325843219,0.324034311,0.323575838,0.327850312,0.324918032,0.323324206,0.323909241,2.9940318745924515
1-169-0.cc,1,169,0,2,0.327051646,0.326798779,0.326682444,0.326981877,0.323813077,0.324572302,0.32746158,0.324590628,0.325311059,0.323991389,0.330527568,0.323918646,0.324289366,0.323903701,0.323304794,1.550180460235089
1-169-0.cc,1,169,0,4,0.328100324,0.326491954,0.326477939,0.327327538,0.326414665,0.326632305,0.331781304,0.327934259,0.326331197,0.324406905,0.329102283,0.32951706,0.327283804,0.325027591,0.328750291,-0.08871619107150751
1-169-0.cc,1,169,0,8,0.32668855,0.324078987,0.325274663,0.327917917,0.328272916,0.327786013,0.334996166,0.328992048,0.329749234,0.327399604,0.330209364,0.328345226,0.326256069,0.327660106,0.325500614,1.6287152159478082
1-18-0.c,1,18,0,1,0.035337405,0.033356611,0.032029194,0.031806273,0.031930647,0.031813737,0.031933739,0.031911081,0.031872606,0.031904131,0.031954165,0.031877727,0.03189941,0.031999185,0.032941745,2.993443647430313
1-18-0.c,1,18,0,2,0.031861994,0.031903623,0.031942865,0.032231168,0.032906463,0.031754503,0.031934755,0.032067075,0.031808891,0.031990006,0.031916145,0.031847699,0.031942147,0.032019789,0.031909209,1.5423828691822705
1-18-0.c,1,18,0,4,0.032288801,0.032161235,0.032139658,0.031815661,0.032082239,0.032194183,0.031977929,0.031652753,0.031877802,0.031929626,0.031947482,0.031893287,0.0320006,0.031999373,0.032450154,-0.10363585235058403
1-18-0.c,1,18,0,8,0.032305334,0.032462974,0.032453965,0.032245807,0.031901135,0.031877953,0.032279608,0.032280969,0.032113442,0.032132943,0.032246855,0.032177969,0.032065087,0.032258864,0.032182382,1.6287380444366257
1-19-0.c,1,19,0,1,0.033139232,0.034092807,0.033504808,0.033556973,0.033252373,0.033889956,0.033799835,0.033515342,0.033285529,0.033091471,0.032934295,0.032897747,0.033018829,0.033463723,0.0329757,2.993447496932727
1-19-0.c,1,19,0,2,0.032860946,0.032762208,0.032672496,0.03264211,0.032665339,0.032718944,0.032682703,0.032687831,0.032931867,0.032928379,0.033643657,0.032989944,0.033275757,0.03315723,0.033128009,1.5424344851893625
